GasTurb_experimental_input_2


T2	T3	T4	T8	P3	P4	P5	FN	XNRSTD	P2qP1	W2Rstd	P3q2	e23is	P4q5	e45is	WF
289.3859529	309.5167276	791.1768595	698.3924857	119.3298077	118.9354267	103.0677885	0.012557242	0.331196514	0.989556279	0.097974414	1.197509511	0.75	1.153953417	0.85	0.002258113
289.3859529	309.2292779	792.364068	701.7813666	118.9166466	118.4283654	103.1819712	0.012245493	0.329031015	0.989228048	0.099551629	1.193759283	0.75	1.147762192	0.85	0.00223445
289.185509	328.335116	878.4072964	725.9091886	153.3367188	152.8321615	106.8927083	0.035858594	0.496757232	0.969303418	0.173141139	1.570930425	0.75	1.429771627	0.85	0.003950684
288.8086746	363.8373677	908.6571862	717.4620007	201.5789063	201.090625	114.684375	0.070112305	0.667098227	0.93839995	0.257150367	2.133180661	0.75	1.753426524	0.85	0.005596436
288.5440887	389.6434969	919.6747911	728.8888833	238.8347656	238.8347656	124.6648438	0.092434766	0.758704446	0.911517813	0.321633084	2.601973768	0.75	1.915814904	0.85	0.006743408
288.1504898	411.1184351	981.8602205	768.4930376	269.2236151	269.2680043	133.7007102	0.127742188	0.821643478	0.891879006	0.366846022	2.997628021	0.75	2.013960912	0.85	0.008237749
288.042979	428.6274407	1063.760195	815.6145769	292.3503906	292.3707357	137.949349	0.136117839	0.862519129	0.879618711	0.395060355	3.300500091	0.75	2.119406419	0.85	0.009395142
288.3195915	442.4581978	1137.742794	861.1976029	312.7442708	312.793099	142.5229167	0.150124089	0.898173228	0.86751593	0.423553374	3.579995111	0.75	2.194686344	0.85	0.010582031
288.0075159	455.4120855	1191.453696	902.4810477	330.4926683	331.0936298	147.0191106	0.163855168	0.925834901	0.862948543	0.433747165	3.803185067	0.75	2.252044843	0.85	0.011888897
288.4410033	461.3480062	1223.830424	923.0818691	342.9921317	344.0733259	150.54375	0.192609096	0.941752384	0.857914243	0.446205379	3.97018559	0.75	2.285537101	0.85	0.012527553
288.0734813	471.1327125	1259.703535	946.409344	352.3983696	352.5894361	152.7278533	0.194277514	0.952251293	0.855815676	0.45056795	4.089066586	0.75	2.308612533	0.85	0.013209388

